Run,M1_total_size,M2_total_size,M3_total_size,M4_total_size,M1_gen_time,M2_gen_time,M3_gen_time,M4_gen_time,Total_Exchange_time,Method
1,38,45,19,9,0.023,0.009,5.808,0.009,5.981,3
2,38,45,19,9,0.021,0.009,5.714,0.010,5.879,3
3,38,45,19,9,0.015,0.006,6.861,0.007,6.988,3
4,38,45,19,9,0.018,0.007,5.478,0.008,5.628,3
5,38,45,19,9,0.016,0.012,5.577,0.010,5.741,3
6,38,45,19,9,0.016,0.007,6.418,0.010,6.577,3
7,38,45,19,9,0.015,0.005,5.499,0.007,5.633,3
8,38,45,19,9,0.020,0.010,6.097,0.010,6.267,3
9,38,45,19,9,0.018,0.006,5.590,0.008,5.734,3
10,38,45,19,9,0.017,0.007,5.762,0.007,5.905,3
11,38,45,19,9,0.018,0.006,5.517,0.007,5.657,3
12,38,45,19,9,0.016,0.007,5.856,0.008,5.995,3
13,38,45,19,9,0.016,0.009,5.424,0.007,5.559,3
14,38,45,19,9,0.016,0.009,5.506,0.010,5.679,3
15,38,45,19,9,0.015,0.007,5.410,0.009,5.556,3
16,38,45,19,9,0.017,0.007,5.427,0.012,5.564,3
17,38,45,19,9,0.017,0.007,5.552,0.005,5.687,3
18,38,45,19,9,0.018,0.007,5.786,0.008,5.921,3
19,38,45,19,9,0.017,0.008,5.539,0.011,5.689,3
20,38,45,19,9,0.016,0.006,5.668,0.006,5.792,3
21,38,45,19,9,0.017,0.007,5.518,0.007,5.660,3
22,38,45,19,9,0.015,0.006,5.631,0.009,5.785,3
23,38,45,19,9,0.017,0.005,6.764,0.008,6.925,3
24,38,45,19,9,0.019,0.009,5.507,0.007,5.646,3
25,38,45,19,9,0.018,0.010,5.674,0.010,5.836,3
26,38,45,19,9,0.017,0.006,5.562,0.008,5.707,3
27,38,45,19,9,0.015,0.007,5.630,0.009,5.777,3
28,38,45,19,9,0.016,0.009,5.400,0.012,5.573,3
29,38,45,19,9,0.025,0.007,5.522,0.007,5.684,3
30,38,45,19,9,0.016,0.007,5.605,0.007,5.741,3
31,38,45,19,9,0.016,0.008,5.712,0.010,5.859,3
32,38,45,19,9,0.017,0.008,5.492,0.007,5.610,3
33,38,45,19,9,0.016,0.007,5.736,0.008,5.879,3
34,38,45,19,9,0.015,0.009,5.560,0.008,5.702,3
35,38,45,19,9,0.016,0.006,5.429,0.005,5.558,3
36,38,45,19,9,0.015,0.006,5.680,0.006,5.805,3
37,38,45,19,9,0.020,0.006,5.617,0.011,5.792,3
38,38,45,19,9,0.018,0.010,5.479,0.010,5.640,3
39,38,45,19,9,0.016,0.009,5.695,0.011,5.860,3
40,38,45,19,9,0.017,0.011,5.534,0.011,5.676,3
41,38,45,19,9,0.018,0.010,7.654,0.010,7.837,3
42,38,45,19,9,0.016,0.006,5.626,0.010,5.764,3
43,38,45,19,9,0.017,0.016,5.799,0.009,5.947,3
44,38,45,19,9,0.016,0.007,5.518,0.010,5.656,3
45,38,45,19,9,0.016,0.006,6.206,0.007,6.348,3
46,38,45,19,9,0.029,0.016,7.158,0.018,7.370,3
47,38,45,19,9,0.016,0.006,5.544,0.006,5.682,3
48,38,45,19,9,0.015,0.007,5.877,0.009,6.038,3
49,38,45,19,9,0.017,0.007,5.849,0.007,5.999,3
50,38,45,19,9,0.015,0.007,7.007,0.008,7.160,3
51,38,45,19,9,0.016,0.008,5.990,0.010,6.162,3
52,38,45,19,9,0.016,0.007,5.664,0.008,5.812,3
53,38,45,19,9,0.029,0.013,7.966,0.016,8.179,3
54,38,45,19,9,0.030,0.013,6.617,0.007,6.809,3
55,38,45,19,9,0.033,0.009,6.115,0.008,6.299,3
56,38,45,19,9,0.019,0.015,5.755,0.007,5.928,3
57,38,45,19,9,0.025,0.010,5.991,0.007,6.156,3
58,38,45,19,9,0.025,0.012,6.200,0.009,6.395,3
59,38,45,19,9,0.032,0.012,6.185,0.011,6.374,3
60,38,45,19,9,0.025,0.007,6.503,0.007,6.665,3
61,38,45,19,9,0.019,0.005,5.861,0.009,5.996,3
62,38,45,19,9,0.018,0.009,5.969,0.009,6.116,3
63,38,45,19,9,0.019,0.005,5.549,0.008,5.678,3
64,38,45,19,9,0.017,0.006,5.716,0.010,5.869,3
65,38,45,19,9,0.015,0.006,5.640,0.007,5.781,3
66,38,45,19,9,0.016,0.006,5.635,0.008,5.780,3
67,38,45,19,9,0.021,0.008,5.632,0.009,5.804,3
68,38,45,19,9,0.017,0.005,5.661,0.012,5.817,3
69,38,45,19,9,0.017,0.009,6.021,0.009,6.185,3
70,38,45,19,9,0.022,0.009,5.514,0.004,5.660,3
71,38,45,19,9,0.017,0.012,5.641,0.011,5.835,3
72,38,45,19,9,0.025,0.010,5.858,0.005,6.022,3
73,38,45,19,9,0.020,0.014,6.135,0.010,6.302,3
74,38,45,19,9,0.016,0.011,5.825,0.008,5.975,3
75,38,45,19,9,0.030,0.010,5.802,0.007,5.977,3
76,38,45,19,9,0.016,0.009,5.633,0.012,5.787,3
77,38,45,19,9,0.017,0.009,5.582,0.010,5.737,3
78,38,45,19,9,0.015,0.010,5.835,0.007,5.974,3
79,38,45,19,9,0.017,0.012,5.693,0.011,5.860,3
80,38,45,19,9,0.023,0.008,5.894,0.007,6.038,3
81,38,45,19,9,0.017,0.008,5.790,0.015,5.978,3
82,38,45,19,9,0.026,0.010,5.632,0.013,5.818,3
83,38,45,19,9,0.018,0.010,5.608,0.013,5.786,3
84,38,45,19,9,0.016,0.010,5.870,0.009,6.027,3
85,38,45,19,9,0.022,0.009,5.761,0.006,5.925,3
86,38,45,19,9,0.019,0.010,5.631,0.012,5.799,3
87,38,45,19,9,0.017,0.009,5.614,0.011,5.773,3
88,38,45,19,9,0.016,0.009,5.610,0.016,5.783,3
89,38,45,19,9,0.016,0.013,6.194,0.011,6.353,3
90,38,45,19,9,0.017,0.007,5.640,0.011,5.797,3
91,38,45,19,9,0.019,0.009,6.259,0.006,6.416,3
92,38,45,19,9,0.017,0.011,5.908,0.009,6.079,3
93,38,45,19,9,0.031,0.010,5.675,0.010,5.870,3
94,38,45,19,9,0.015,0.010,5.615,0.009,5.776,3
95,38,45,19,9,0.017,0.011,5.849,0.006,5.993,3
96,38,45,19,9,0.016,0.009,5.895,0.010,6.072,3
97,38,45,19,9,0.014,0.011,5.651,0.011,5.823,3
98,38,45,19,9,0.014,0.009,5.580,0.005,5.710,3
99,38,45,19,9,0.019,0.010,5.828,0.005,5.974,3
100,38,45,19,9,0.017,0.013,5.708,0.011,5.878,3
