Run,M1_total_size,M2_total_size,M3_total_size,M4_total_size,M1_gen_time,M2_gen_time,M3_gen_time,M4_gen_time,Total_Exchange_time,Method
76,43,44,9,9,0.025,0.009,2.115,0.005,2.293,4
77,43,44,9,9,0.034,0.020,2.763,0.009,2.994,4
78,43,44,9,9,0.032,0.016,2.041,0.004,2.222,4
79,43,44,9,9,0.034,0.016,2.641,0.007,2.866,4
80,43,44,9,9,0.017,0.009,2.599,0.009,2.759,4
81,43,44,9,9,0.022,0.006,2.193,0.006,2.346,4
82,43,44,9,9,0.038,0.011,1.943,0.004,2.122,4
83,43,44,9,9,0.021,0.010,2.023,0.003,2.144,4
84,43,44,9,9,0.020,0.009,1.856,0.003,1.986,4
85,43,44,9,9,0.017,0.006,1.943,0.003,2.052,4
86,43,44,9,9,0.019,0.010,2.050,0.003,2.180,4
87,43,44,9,9,0.018,0.011,1.894,0.003,2.020,4
88,43,44,9,9,0.017,0.006,1.918,0.003,2.040,4
89,43,44,9,9,0.017,0.007,1.923,0.004,2.051,4
90,43,44,9,9,0.016,0.006,1.958,0.005,2.069,4
91,43,44,9,9,0.017,0.004,1.932,0.003,2.035,4
92,43,44,9,9,0.017,0.004,1.953,0.003,2.060,4
93,43,44,9,9,0.018,0.004,1.940,0.003,2.038,4
94,43,44,9,9,0.023,0.006,1.857,0.008,2.010,4
95,43,44,9,9,0.017,0.005,1.940,0.002,2.042,4
96,43,44,9,9,0.019,0.006,1.993,0.004,2.116,4
97,43,44,9,9,0.032,0.011,1.913,0.004,2.067,4
98,43,44,9,9,0.021,0.004,2.136,0.004,2.246,4
99,43,44,9,9,0.017,0.004,1.868,0.003,1.982,4
100,43,44,9,9,0.017,0.005,2.072,0.004,2.189,4
