Run,M1_total_size,M2_total_size,M3_total_size,M4_total_size,M1_gen_time,M2_gen_time,M3_gen_time,M4_gen_time,Total_Exchange_time,Method
1,43,44,9,9,0.040,0.014,3.199,0.003,3.470,4
2,43,44,9,9,0.034,0.027,2.301,0.010,2.521,4
3,43,44,9,9,0.019,0.004,1.904,0.003,2.004,4
4,43,44,9,9,0.018,0.007,1.982,0.004,2.089,4
5,43,44,9,9,0.017,0.005,1.917,0.004,2.034,4
6,43,44,9,9,0.016,0.004,1.935,0.003,2.035,4
7,43,44,9,9,0.018,0.007,1.765,0.004,1.895,4
8,43,44,9,9,0.016,0.005,1.923,0.003,2.022,4
9,43,44,9,9,0.021,0.007,1.827,0.004,1.957,4
10,43,44,9,9,0.019,0.031,1.993,0.003,2.128,4
11,43,44,9,9,0.017,0.006,1.860,0.002,1.968,4
12,43,44,9,9,0.018,0.006,1.861,0.003,1.971,4
13,43,44,9,9,0.019,0.005,1.920,0.003,2.022,4
14,43,44,9,9,0.017,0.005,1.860,0.002,1.962,4
15,43,44,9,9,0.017,0.030,1.791,0.003,1.918,4
16,43,44,9,9,0.018,0.031,1.943,0.003,2.084,4
17,43,44,9,9,0.021,0.007,1.795,0.007,1.952,4
18,43,44,9,9,0.016,0.005,1.826,0.003,1.918,4
19,43,44,9,9,0.017,0.004,2.389,0.007,2.552,4
20,43,44,9,9,0.018,0.007,1.993,0.004,2.123,4
21,43,44,9,9,0.017,0.006,2.092,0.003,2.204,4
22,43,44,9,9,0.019,0.005,1.910,0.003,2.005,4
23,43,44,9,9,0.018,0.005,1.861,0.003,1.960,4
24,43,44,9,9,0.017,0.005,1.932,0.003,2.062,4
25,43,44,9,9,0.020,0.004,1.864,0.004,1.992,4
26,43,44,9,9,0.018,0.005,1.910,0.003,2.014,4
27,43,44,9,9,0.020,0.005,1.941,0.004,2.065,4
28,43,44,9,9,0.016,0.005,1.837,0.004,1.957,4
29,43,44,9,9,0.021,0.035,1.927,0.004,2.076,4
30,43,44,9,9,0.018,0.004,1.863,0.003,1.965,4
31,43,44,9,9,0.016,0.006,2.143,0.003,2.249,4
32,43,44,9,9,0.017,0.005,1.984,0.004,2.107,4
33,43,44,9,9,0.017,0.004,1.947,0.003,2.044,4
34,43,44,9,9,0.022,0.038,1.992,0.003,2.131,4
35,43,44,9,9,0.018,0.007,1.835,0.003,1.941,4
36,43,44,9,9,0.017,0.004,1.970,0.003,2.072,4
37,43,44,9,9,0.019,0.005,1.981,0.003,2.109,4
38,43,44,9,9,0.017,0.006,1.936,0.002,2.043,4
39,43,44,9,9,0.019,0.007,1.927,0.003,2.034,4
40,43,44,9,9,0.018,0.006,1.985,0.003,2.109,4
41,43,44,9,9,0.018,0.004,1.863,0.004,1.973,4
42,43,44,9,9,0.016,0.004,1.944,0.003,2.048,4
43,43,44,9,9,0.016,0.007,1.944,0.003,2.048,4
44,43,44,9,9,0.016,0.004,1.980,0.003,2.077,4
45,43,44,9,9,0.016,0.004,1.918,0.002,2.017,4
46,43,44,9,9,0.017,0.008,1.757,0.003,1.864,4
47,43,44,9,9,0.017,0.004,2.069,0.003,2.165,4
48,43,44,9,9,0.020,0.005,1.911,0.003,2.028,4
49,43,44,9,9,0.020,0.005,1.931,0.004,2.040,4
50,43,44,9,9,0.018,0.006,2.081,0.003,2.192,4
51,43,44,9,9,0.017,0.007,1.950,0.003,2.059,4
52,43,44,9,9,0.020,0.006,1.938,0.006,2.070,4
53,43,44,9,9,0.017,0.005,1.953,0.004,2.072,4
54,43,44,9,9,0.016,0.027,1.800,0.003,1.919,4
55,43,44,9,9,0.015,0.004,1.951,0.005,2.065,4
56,43,44,9,9,0.021,0.007,2.044,0.003,2.165,4
57,43,44,9,9,0.017,0.004,2.096,0.002,2.199,4
58,43,44,9,9,0.018,0.005,2.010,0.006,2.125,4
59,43,44,9,9,0.017,0.005,1.941,0.003,2.042,4
60,43,44,9,9,0.018,0.015,1.941,0.003,2.059,4
61,43,44,9,9,0.020,0.004,1.922,0.003,2.025,4
62,43,44,9,9,0.017,0.004,1.955,0.002,2.053,4
63,43,44,9,9,0.014,0.004,1.934,0.005,2.049,4
64,43,44,9,9,0.017,0.004,1.944,0.002,2.046,4
65,43,44,9,9,0.021,0.006,1.894,0.003,2.008,4
66,43,44,9,9,0.020,0.006,1.933,0.002,2.046,4
67,43,44,9,9,0.016,0.005,1.833,0.003,1.941,4
68,43,44,9,9,0.019,0.005,2.018,0.004,2.123,4
69,43,44,9,9,0.020,0.006,1.888,0.004,2.008,4
70,43,44,9,9,0.017,0.004,1.927,0.003,2.028,4
71,43,44,9,9,0.017,0.005,2.066,0.003,2.180,4
72,43,44,9,9,0.032,0.012,1.920,0.006,2.103,4
73,43,44,9,9,0.019,0.004,1.942,0.002,2.047,4
74,43,44,9,9,0.019,0.012,2.587,0.005,2.744,4
75,43,44,9,9,0.017,0.009,2.151,0.003,2.268,4
